start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Internet', 'World_Wide_Web', 'Telephone']"
Theatre,Zebra,"['Theatre', 'India', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Trojan_War', 'Danube', 'Middle_Ages', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Mexico', 'Agriculture', 'Soybean', 'Seed', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Temperate', 'Tropics', 'Rainforest', 'Amazon_Rainforest', 'Vegetation', 'Plant', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Chordate', 'Animal', 'Vertebrate', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Earthquake', 'Soviet_Union', 'Nazi_Germany', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Water', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Nazi_Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Spring_Heeled_Jack', 'Nature', 'Plant', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Scientific_classification', 'Insect', 'Latin', 'Science', 'World_Wide_Web', 'C%2B%2B', 'Unix', 'Microsoft', 'Computer']"
Cat,Microsoft,"['Cat', 'Genetics', 'United_Kingdom', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Postage_stamp', 'China', 'Calligraphy', 'Windows_Vista', 'Microsoft', 'Computer', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Jet_engine', 'Aircraft', 'Boeing_747', 'Airbus', 'Europe', 'Latin', 'Science', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Russia', 'Earth', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Toy', 'Apple', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Aluminium', 'Latin', 'The_Cat_in_the_Hat', 'Latin', 'The_Adventures_of_Tintin', 'South_America', 'Anaconda', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Ireland', 'Mammal', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'Thailand', 'Tungsten', 'Day', 'Astronomy', 'Planet', 'Pluto']"
England,God,"['England', 'Christianity', 'Judaism', 'God']"
Batman,Bible,"['Batman', 'Scotland', 'Roman_law', 'Roman_Catholic_Church', 'Bible']"
Art,Mango,"['Art', 'Language', 'Chimpanzee', 'Scientific_classification', 'Apple', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Charles_Darwin', 'Nazi_Germany', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Albert_Einstein', 'Paul_Dirac', 'Westminster_Abbey', 'Stratford-upon-Avon', 'William_Shakespeare', 'Love', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'Europe', 'Arctic_Ocean', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Renaissance', 'Art', 'Color', 'Rainbow']"
Electricity,God,"['Electricity', 'Ancient_Greece', 'Athena', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Roman_mythology', 'Zeus', 'Roman_mythology', 'Zeus', 'Roman_mythology', 'Zeus', 'Jupiter_%28mythology%29', 'Thor', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Plant', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'Rome', 'Philippines', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Steel', 'Water', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Chemistry', 'Chemical_element', 'Chemistry', 'Chemical_element', 'Chemistry', 'Organism', 'Lipid', 'Vitamin', 'Vitamin_D']"
George_W._Bush,Monkey,
China,Moon,"['China', 'Sea', 'Moon']"
Africa,England,"['Africa', 'United_Kingdom', 'England']"
Batman,Peanut,"['Batman', 'Spring_Heeled_Jack', 'English_language', 'Pig', 'Animal', 'Fungus', 'Plant', 'Seed', 'Pea', 'Bean', 'Peanut']"
Batman,Coconut_crab,
Computer,Russia,"['Computer', 'Great_Britain', 'Ukraine', 'Russia']"
Cat,Adolf_Hitler,"['Cat', 'Scientific_classification', 'Charles_Darwin', 'Nazi_Germany', 'Adolf_Hitler']"
