start,end,path
Brain,Telephone,"['Brain', 'Cell_%28biology%29', 'Mitochondrion', 'Cell_%28biology%29', 'Microscope', 'Telescope', 'Radio', 'Television', 'Telecommunication', 'Telephone']"
Theatre,Zebra,"['Theatre', 'India', 'Mammal', 'Zebra']"
Asteroid,Viking,
Pyramid,Bean,"['Pyramid', 'Mexico', 'Agriculture', 'Vegetable', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Temperate', 'Rocky_Mountains', 'Moss', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Vertebrate', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Crime', 'Religion', 'Judaism', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Africa', 'Desert', 'Sunflower', 'Greek_mythology', 'Deity', 'Ancient_Egypt', 'Mediterranean_Sea', 'Sea', 'Moon', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Spring_Heeled_Jack', 'Nature', 'Plant', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Genetics', 'Bioinformatics', 'Computer_science', 'Computer_programming', 'Microsoft_Windows', 'Macintosh', 'Central_processing_unit', 'Computer']"
Cat,Microsoft,"['Cat', 'Scientific_classification', 'Binomial_nomenclature', 'Latin', 'Science', 'Computer_science', 'Computer_programming', 'Microsoft']"
Dog,Telephone,"['Dog', 'Postage_stamp', 'Wood', 'Cell_%28biology%29', 'Microscope', 'Telescope', 'Binoculars', 'United_States', 'Electronics', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Boeing_747', 'Airbus', 'Industry', 'Computer', 'Internet', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Russia', 'Earth', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Toy', 'Apple', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Aluminium', 'Latin', 'The_Cat_in_the_Hat', 'Dr._Seuss', 'Elephant', 'Animal', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Norway', 'Animal_rights', 'Dog', 'Chordate', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'Oxygen', 'Gas', 'Plasma_%28physics%29', 'Pluto']"
England,God,"['England', 'Westminster_Abbey', 'Archbishop_of_Canterbury', 'Apostolic_Succession', 'Paul_of_Tarsus', 'Jesus', 'God']"
Batman,Bible,"['Batman', 'Scotland', 'Roman_law', 'Roman_Catholic_Church', 'Bible']"
Art,Mango,"['Art', 'Color', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Vincent_van_Gogh', 'Berlin', 'Nazi_Germany', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Albert_Einstein', 'Paul_Dirac', 'England', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'Europe', 'Arctic_Ocean', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Time', 'Light', 'Rainbow']"
Electricity,God,"['Electricity', 'Ancient_Greece', 'Athena', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Jupiter_%28mythology%29', 'Zeus', 'Greek_mythology', 'Deity', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Plant', 'Sundew', 'Flower', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'Rome', 'Philippines', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Steel', 'Water', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Chemistry', 'Chemical_element', 'Chemistry', 'Sodium', 'Calcium', 'Vitamin_D']"
George_W._Bush,Monkey,
China,Moon,"['China', 'Sea', 'Moon']"
Africa,England,"['Africa', 'Hutu', 'Brussels', 'United_Kingdom', 'England']"
Batman,Peanut,"['Batman', 'Scotland', 'Cattle', 'Meat', 'Food', 'Peanut']"
Batman,Coconut_crab,"['Batman', 'Scotland', 'Cattle', 'Animal', 'Insect', 'Crustacean', 'Barnacle', 'Arthropod', 'Coconut_crab']"
Computer,Russia,"['Computer', 'Great_Britain', 'Ukraine', 'Russia']"
Cat,Adolf_Hitler,"['Cat', 'Genealogy', 'Winston_Churchill', 'Adolf_Hitler']"
Manchester,Water,"['Manchester', 'Canal', 'River', 'Fresh_water', 'Water']"
Achilles_tendon,Ivory,"['Achilles_tendon', 'Latin', 'Great_Britain', 'Antelope', 'Animal', 'Mammal', 'Elephant', 'Ivory']"
Batman,Japan,"['Batman', 'Scotland', 'China', 'Japan']"
Cat,University,"['Cat', 'Scientific_classification', 'Binomial_nomenclature', 'Biology', 'Science', 'University']"
Jew,Telephone,"['Jew', 'English_language', 'British_Isles', 'U2', 'IPod', 'Bluetooth', 'Radio', 'Television', 'Telecommunication', 'Telephone']"
Batman,Albert_Einstein,"['Batman', 'Chemistry', 'Physics', 'Albert_Einstein']"
Jesus,Adolf_Hitler,"['Jesus', 'The_Holocaust', 'Adolf_Hitler']"
Computer_programming,Fresh_water,"['Computer_programming', 'Linguistics', 'Medicine', 'Anatomy', 'Biology', 'Botany', 'Oxygen', 'Water', 'Fresh_water']"
Antlion,Hip_hop_music,"['Antlion', 'Animal', 'Plant', 'Fungus', 'Weed', 'Sumac', 'Africa', 'Soukous', 'Folk_music', 'Hip_hop_music']"
Brothers_Grimm,Windows_Vista,"['Brothers_Grimm', 'Germany', 'Europe', 'Soviet_Union', 'List_of_countries_by_system_of_government', 'Vatican_City', 'Vatican_City', 'Vatican_City', 'Rome', 'People%27s_Republic_of_China', 'Technology', 'Computer', 'Microsoft_Windows', 'Windows_Vista']"
God,Apple,"['God', 'Nature', 'Nature', 'Plant', 'Seed', 'Apple']"
Jesus,God,"['Jesus', 'Bible', 'God']"
Cat,Dog,"['Cat', 'Dog']"
