start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Information', 'Mass_media', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Brazil', 'Rainforest', 'Mammal', 'Animal', 'Mammal', 'Animal', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Comet', 'Denmark', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Mexico', 'Agriculture', 'Pea', 'Vegetable', 'Food', 'Peanut', 'Fruit', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Scottish_Highlands', 'Orkney', 'Scotland', 'Shetland', 'Sweden', 'Tree', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Crime', 'Society', 'History', 'Human', 'Society', 'History', 'Society', 'History', 'Society', 'History', 'Society', 'History', 'Human', 'World_War_II', 'Germany', 'Nazi_Germany', 'Nazism', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Business', 'Wall_Street', 'Star_Trek', 'Milky_Way', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Spring_Heeled_Jack', 'Nature', 'Plant', 'Fruit', 'Apple', 'Mango', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Scientific_classification', 'Organism', 'Energy', 'Technology', 'Computer', 'Electronics', 'Integrated_circuit', 'Computer']"
Cat,Microsoft,"['Cat', 'Mammal', 'Australia', 'Publishing', 'Industry', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'English_language', 'Internet', 'Optical_fiber', 'Engineering', 'Technology', 'Electronics', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Boeing_747', 'United_States', 'Currency', 'Money', 'Finance', 'Business', 'Wall_Street', 'California', 'Computer', 'Internet', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Fossil', 'Paleontology', 'Plant', 'Fossil', 'Carolus_Linnaeus', 'Scientific_classification', 'Plant', 'Sunflower', 'Gardening', 'North_America', 'Earth', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Telephone', 'Telecommunication', 'Television', 'Color', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Recycling', 'Bangladesh', 'India', 'Reptile', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Picts', 'Scotland', 'Scottish_Highlands', 'Papua_New_Guinea', 'Mammal', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'United_States', 'Multiculturalism', 'Netherlands', 'Albania', 'Andorra', 'Armenia', 'Austria', 'Azerbaijan', 'Belarus', 'Belgium', 'Bosnia_and_Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czech_Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Georgia_%28country%29', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Indonesia', 'Italy', 'Japan', 'Kazakhstan', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Moldova', 'Monaco', 'Montenegro', 'Morocco', 'NATO', 'Netherlands_Antilles', 'North_Sea', 'North_Sea_flood_of_1953', 'Norway', 'Poland', 'Portugal', 'Romania', 'Russia', 'San_Marino', 'Serbia', 'Slovakia', 'Slovenia', 'Spain', 'Suriname', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United_Kingdom', 'United_States', 'Utrecht_%28city%29', 'Vatican_City', 'Vincent_van_Gogh', 'Venus', 'Planet', 'Pluto']"
England,God,"['England', 'Christianity', 'Anglican_Communion', 'Roman_Catholic_Church', 'God']"
Batman,Bible,"['Batman', 'Scotland', 'Church_of_England', 'England', 'Christianity', 'Bible']"
Art,Mango,"['Art', 'Australia', 'Australian_English', 'Australia', 'Australian_Open', 'Melbourne', 'Australia', 'Australian_Open', 'Melbourne', 'Australia', 'Australian_Open', 'Melbourne', 'Australia', 'Australian_Open', 'Tennis', 'Australia', 'Asia', 'Philippines', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Charles_Darwin', 'Germany', 'World_War_I', 'World_War_II', 'Germany', 'Nazi_Germany', 'Nazism', 'World_War_II', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Science', 'United_States', 'U.S._state', 'British_Isles', 'U2', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'Portugal', 'Atlantic_Ocean', 'Ocean', 'Sea', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Time', 'Light', 'Color', 'Rainbow']"
Electricity,God,"['Electricity', 'Mesopotamia', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Plant', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'Christianity', 'Oceania', 'Asia', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Rainforest', 'Carbon_dioxide', 'Helium', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Scotland', 'Climate', 'Meteorology', 'Global_warming', 'Ozone', 'Vitamin_D']"
George_W._Bush,Monkey,
China,Moon,"['China', 'Clock', 'Solar_System', 'Moon']"
Africa,England,"['Africa', 'United_Kingdom', 'England']"
Batman,Peanut,"['Batman', 'Scotland', 'Football', 'Pig', 'Meat', 'Food', 'Peanut']"
Batman,Coconut_crab,"['Batman', 'Scotland', 'Cattle', 'Animal', 'Mammal', 'Animal', 'Australian_Green_Tree_Frog', 'Invasive_species', 'Guam', 'Invasive_species', 'Guam', 'Invasive_species', 'Guam', 'Invasive_species', 'Carcinus_maenas', 'Crustacean', 'Arthropod', 'Crustacean', 'Arthropod', 'Crustacean', 'Arthropod', 'Crustacean', 'Animal', 'Organism', 'Arthropod', 'Crustacean', 'Animal', 'Cambrian', 'Animal', 'Fish', 'Insect', 'Mammal', 'Reptile', 'Food', 'Fishing', 'Crustacean', 'Animal', 'Organism', 'Arthropod', 'Coconut_crab']"
Computer,Russia,"['Computer', 'History_of_computing_hardware', 'Soviet_Union', 'Russia']"
Cat,Adolf_Hitler,"['Cat', 'Muhammad', 'Islam', 'Europe', 'Germany', 'Nazism', 'The_Holocaust', 'World_War_I', 'World_War_II', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Adolf_Hitler']"
Manchester,Water,"['Manchester', 'Canal', 'River', 'Ocean', 'Sea', 'Ocean', 'Sea', 'Seawater', 'Water']"
Achilles_tendon,Ivory,"['Achilles_tendon', 'Latin', 'Ancient_Rome', 'Rome', 'Byzantine_Empire', 'Capital', 'Charlemagne', 'Constantine_I', 'Europe', 'European_Union', 'France', 'Italy', 'Malta', 'Michelangelo', 'Middle_Ages', 'Poland', 'Raphael', 'Renaissance', 'Romania', 'Scotland', 'United_Kingdom', 'Vatican_City', 'World_War_I', 'World_War_II', 'Imperial_Japanese_Navy', 'Japan', 'Metal', 'Art', 'Sculpture', 'Jewellery', 'Ivory']"
Batman,Japan,"['Batman', 'Scotland', 'United_Kingdom', 'Euro', 'Europe', 'Asia', 'Japan']"
Cat,University,"['Cat', 'Scientific_classification', 'Plant', 'Scientific_classification', 'Plant', 'Scientific_classification', 'Human', 'Art', 'Economics', 'Literature', 'Philosophy', 'Politics', 'Psychology', 'Religion', 'Sociology', 'Chicago', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'Princeton_University', 'Library', 'University_of_Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'Oxford', 'Trinity_College%2C_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'England', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Oxford', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Cambridge', 'Oxford', 'Trinity_College%2C_Cambridge', 'Cambridge', 'University_of_Cambridge', 'Pedagogy', 'Education', 'University']"
Jew,Telephone,"['Jew', 'United_States', 'September_11%2C_2001_attacks', 'Al_Jazeera', 'Television', 'Telecommunication', 'Telephone']"
Batman,Albert_Einstein,"['Batman', 'Superman', 'United_States', 'United_States_Bill_of_Rights', 'Philosophy', 'Albert_Einstein']"
Jesus,Adolf_Hitler,"['Jesus', 'The_Holocaust', 'Germany', 'Nazi_Germany', 'Adolf_Hitler']"
Computer_programming,Fresh_water,"['Computer_programming', 'Linguistics', 'Language', 'Biology', 'Ecology', 'Water', 'Drinking_water', 'Fresh_water']"
Antlion,Hip_hop_music,"['Antlion', 'Insect', 'Organism', 'Brazil', 'Dance', 'Music', 'Hip_hop_music']"
Brothers_Grimm,Windows_Vista,"['Brothers_Grimm', 'Folklore', 'Game', 'Computer', 'Microsoft_Windows', 'Windows_Vista']"
God,Apple,"['God', 'Bible', 'Vowel', 'English_language', 'Australia', 'Cricket', 'England', 'Culture', 'Agriculture', 'Fruit', 'Food', 'Vitamin', 'Citrus', 'Fruit', 'Apple']"
Jesus,God,"['Jesus', 'Christianity', 'Islam', 'Allah', 'God']"
Cat,Dog,
California,Adolf_Hitler,"['California', 'Arnold_Schwarzenegger', 'Nazism', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Adolf_Hitler', 'Nazism', 'Adolf_Hitler']"
AIDS,Jesus,"['AIDS', 'Human', 'Christianity', 'Jesus']"
Bird_migration,Hubble_Space_Telescope,"['Bird_migration', 'Radar', 'Earth', 'International_Space_Station', 'United_States', 'Mining', 'Montserrat', 'North_Korea', 'Northern_Mariana_Islands', 'United_States', 'U.S._state', 'United_States', 'U.S._state', 'United_States', 'Supreme_Court_of_the_United_States', 'United_States_Congress', 'United_States_Constitution', 'United_States', 'California', 'Florida', 'India', 'Mexico', 'Minnesota', 'Oregon', 'United_States', 'North_America', 'United_States', 'United_States_dollar', 'Airbus', 'United_States', 'Multiculturalism', 'United_States', 'Washington%2C_D.C.', 'Football_%28soccer%29', 'University_of_Cambridge', 'Technology', 'Space_exploration', 'Astronomy', 'United_States', 'United_States_Congress', 'United_States_House_of_Representatives', 'United_States_Constitution', 'Television', 'Technology', 'Space_exploration', 'Astronomy', 'Telescope', 'Hubble_Space_Telescope']"
England,Train,"['England', 'London', 'London_Underground', 'Geology', 'Science', 'Engineering', 'Steam_engine', 'Automobile', 'Steam_engine', 'Industrial_Revolution', 'Rail_transport', 'Train']"
Linux,Adolf_Hitler,"['Linux', 'Microsoft_Windows', 'GNU', 'AT%26T', 'United_States', 'U.S._state', 'President_of_the_United_States', 'United_States', 'North_America', 'Europe', 'Germany', 'Adolf_Hitler']"
God,Adolf_Hitler,"['God', 'United_States', 'U.S._state', 'Georgia_%28country%29', 'Germany', 'Nazi_Germany', 'Nazism', 'The_Holocaust', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Nazism', 'Germany', 'Nazi_Germany', 'Nazism', 'World_War_II', 'Adolf_Hitler']"
Automobile,Windows_XP,"['Automobile', 'MINI_%28BMW%29', 'United_States', 'North_America', 'United_States', 'U.S._state', 'Seattle%2C_Washington', 'Microsoft', 'Microsoft_Windows', 'Windows_XP']"
Canada,Pony,"['Canada', 'Canadian_football', 'Calgary', 'Canada', 'Skiing', 'Sport', 'Olympic_Games', 'Athletics_%28track_and_field%29', 'Football', 'Football_%28soccer%29', 'Ice_hockey', 'Skiing', 'Volleyball', 'Italy', 'Italian_Renaissance', 'Renaissance', 'Italy', 'Italian_Renaissance', 'Renaissance', 'Italian_Renaissance', 'Europe', 'Mammal', 'Animal', 'Mammal', 'Horse', 'Pony']"
Apple,Banana,"['Apple', 'Fruit', 'Food', 'Cereal', 'Fruit', 'Apple', 'Avocado', 'Mango', 'Fruit', 'Vegetable', 'Fruit', 'Food', 'Vitamin', 'Vitamin_C', 'Citrus', 'Fruit', 'Food', 'Cereal', 'Fruit', 'Plant', 'Fruit', 'Food', 'Logistics', 'Transport', 'Tree', 'Coconut', 'Fruit', 'Food', 'Cereal', 'Fruit', 'Banana']"
