start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Charles_Babbage', 'Computer', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Lighting_designer', 'Theatre', 'United_Kingdom', 'Lion', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Comet', 'Denmark', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Great_Pyramid_of_Giza', 'Agriculture', 'Cereal', 'Potato', 'Seed', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Coal', 'Coal', 'Coal', 'Fossil_fuel', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Crime', 'Government', 'Despotism', 'Despotism', 'Despotism', 'Monarchy', 'War', 'Nazism', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Selenium', 'Day', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Superman', 'Photosynthesis', 'Plant', 'Arecaceae', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Animal', 'Organism', 'Biology', 'Scientific_classification', 'Organism', 'Biology', 'Microscope', 'Engineering', 'Computer']"
Cat,Microsoft,"['Cat', 'Mammal', 'Scientific_classification', 'Carolus_Linnaeus', 'Japan', 'Technology', 'Organization', 'Corporation', 'United_States', 'Advertising', 'Google', 'Industry', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Postage_stamp', 'Japan', 'Telecommunication', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Airship', 'Aircraft', 'Airbus_A380', 'United_States_dollar', 'United_States', 'California', 'Television', 'Internet', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Animal', 'Plant', 'Amber', 'Vienna', 'Europe', 'Vienna', 'Roman_Empire', 'Rome', 'Italy', 'Rome', 'Milan', 'Renaissance', 'Italy', 'Augustus', 'Cleopatra_VII', 'Cleopatra_VII', 'Egypt', 'Egyptian_pyramids', 'Archaeology', 'Civilization', 'Climate_change', 'Sun', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Unix', 'Linux', 'GNU_Project', 'Richard_Stallman', 'GNU', 'Linux', 'Open_source', 'Coffee', 'Citrus', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Chlorine', 'Chemical_element', 'Latin_alphabet', 'Indonesia', 'Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil', 'Tropics', 'Rainforest', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Folklore', 'Music', 'Folk_music', 'Australia', 'Christmas_Island', 'Australia', 'Mammal', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'United_States', 'Education', 'Physics', 'Planet', 'Eris_%28dwarf_planet%29', 'Pluto']"
England,God,"['England', 'Christianity', 'Religion', 'God']"
Batman,Bible,"['Batman', 'Crime', 'Religion', 'Christianity', 'Bible']"
Art,Mango,"['Art', 'Ancient_Greece', 'Cheese', 'Lemon', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Charles_Darwin', 'Germany', 'Nazism', 'Germany', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Europe', 'England', 'The_Rolling_Stones', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'The_Adventures_of_Tintin', 'Europe', 'Arctic_Ocean', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Renaissance', 'Italian_Renaissance', 'Renaissance', 'Art', 'Color', 'Rainbow']"
Electricity,God,"['Electricity', 'Amber', 'Ancient_Greece', 'Christianity', 'Jesus', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Plant', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'England', 'Indonesian_language', 'East_Timor', 'Indonesia', 'Asia', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Brazil', 'Steel', 'Water', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Superman', 'Sun', 'Vitamin_D']"
George_W._Bush,Monkey,
China,Moon,"['China', 'Taiwan', 'Earthquake', 'Earth', 'Moon']"
Africa,England,"['Africa', 'United_Kingdom', 'England']"
Batman,Peanut,
Batman,Coconut_crab,"['Batman', 'Crime', 'Society', 'Science', 'Paleontology', 'Animal', 'Organism', 'Arthropod', 'Coconut_crab']"
Computer,Russia,"['Computer', 'Linux', 'Open_source', 'India', 'Soviet_Union', 'Russia']"
Cat,Adolf_Hitler,"['Cat', 'Animal', 'Human', 'World_War_II', 'Adolf_Hitler']"
Manchester,Water,"['Manchester', 'Liverpool', 'Liverpool_and_Manchester_Railway', 'Rainhill_Trials', 'Wales', 'Silurian', 'Glacier', 'Water']"
Achilles_tendon,Ivory,"['Achilles_tendon', 'Latin', 'Ancient_Rome', 'Art', 'Sculpture', 'Jewellery', 'Ivory']"
Batman,Japan,"['Batman', 'Scotland', 'Country', 'Japan']"
Cat,University,"['Cat', 'Animal', 'Scientific_classification', 'Aristotle', 'Education', 'University']"
Jew,Telephone,"['Jew', 'Germany', 'Internet', 'World_Wide_Web', 'Telephone']"
Batman,Albert_Einstein,"['Batman', 'Superman', 'Gravitation', 'Albert_Einstein']"
Jesus,Adolf_Hitler,"['Jesus', 'The_Holocaust', 'Adolf_Hitler']"
Computer_programming,Fresh_water,"['Computer_programming', 'Linguistics', 'Medicine', 'Biology', 'Ecology', 'Pond', 'Loch', 'Water', 'River', 'Ganges_River', 'River', 'Fresh_water']"
Antlion,Hip_hop_music,"['Antlion', 'Arthropod', 'Animal', 'Mammal', 'Hippopotamus', 'Africa', 'Soukous', 'North_America', 'Mexico', 'Salsa_music', 'Hip_hop_music']"
Brothers_Grimm,Windows_Vista,"['Brothers_Grimm', 'Berlin', 'United_States', 'List_of_countries', 'Hong_Kong', 'Capitalism', 'Adam_Smith', 'England', 'BBC', 'Internet', 'Microsoft', 'Microsoft_Windows', 'Windows_Vista']"
God,Apple,"['God', 'Nature', 'Plant', 'Fruit', 'Tree', 'Apple']"
Jesus,God,"['Jesus', 'Christianity', 'Paul_of_Tarsus', 'Jesus', 'God']"
Cat,Dog,
California,Adolf_Hitler,"['California', 'United_States', 'Property', 'Socialism', 'Nazism', 'Germany', 'Adolf_Hitler']"
AIDS,Jesus,"['AIDS', 'International_Red_Cross_and_Red_Crescent_Movement', 'Israel', 'Sea_of_Galilee', 'Israel', 'Jordan_River', 'Israel', 'Judaism', 'Jesus']"
Bird_migration,Hubble_Space_Telescope,
England,Train,
Linux,Adolf_Hitler,"['Linux', 'Microsoft_Windows', 'Macintosh', 'George_W._Bush', 'Germany', 'Adolf_Hitler']"
